iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,097,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","63,014,078,182.50","8.03","63,014,078,182.50","311,180,633.00","202.50","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","51,356,812,563.57","6.54","51,356,812,563.57","188,003,121.00","273.17","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","41,166,916,504.68","5.25","41,166,916,504.68","95,091,279.00","432.92","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","31,944,730,594.56","4.07","31,944,730,594.56","125,096,846.00","255.36","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","25,661,721,371.90","3.27","25,661,721,371.90","60,716,246.00","422.65","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","25,298,209,585.20","3.22","25,298,209,585.20","74,555,610.00","339.32","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","20,226,202,545.48","2.58","20,226,202,545.48","59,888,676.00","337.73","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","18,897,672,462.40","2.41","18,897,672,462.40","28,008,170.00","674.72","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","13,956,410,193.63","1.78","13,956,410,193.63","36,015,613.00","387.51","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","10,928,594,006.20","1.39","10,928,594,006.20","23,482,153.00","465.40","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,807,587,074.52","1.38","10,807,587,074.52","34,526,826.00","313.02","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","9,350,721,064.44","1.19","9,350,721,064.44","10,147,503.00","921.48","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","8,000,599,392.50","1.02","8,000,599,392.50","53,515,715.00","149.50","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","7,296,470,193.40","0.93","7,296,470,193.40","56,135,330.00","129.98","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","7,025,910,308.20","0.90","7,025,910,308.20","14,412,715.00","487.48","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","6,977,546,614.50","0.89","6,977,546,614.50","30,860,445.00","226.10","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","6,701,286,758.88","0.85","6,701,286,758.88","21,527,472.00","311.29","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","6,335,965,920.26","0.81","6,335,965,920.26","20,879,081.00","303.46","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,705,340,943.30","0.73","5,705,340,943.30","5,684,309.00","1,003.70","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","5,320,547,918.00","0.68","5,320,547,918.00","10,429,175.00","510.16","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","5,041,322,977.32","0.64","5,041,322,977.32","54,068,243.00","93.24","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","4,819,257,975.31","0.61","4,819,257,975.31","5,958,013.00","808.87","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","4,543,617,873.80","0.58","4,543,617,873.80","50,597,081.00","89.80","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","4,537,975,848.00","0.58","4,537,975,848.00","22,633,296.00","200.50","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","4,513,729,585.28","0.58","4,513,729,585.28","84,972,319.00","53.12","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","4,472,550,300.72","0.57","4,472,550,300.72","24,004,671.00","186.32","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","4,464,552,720.94","0.57","4,464,552,720.94","29,252,737.00","152.62","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","4,327,862,483.00","0.55","4,327,862,483.00","12,747,754.00","339.50","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,251,294,996.05","0.54","4,251,294,996.05","29,760,553.00","142.85","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","4,246,497,947.05","0.54","4,246,497,947.05","15,991,331.00","265.55","United States","NASDAQ","USD","1.00","USD","-"
