Fund Holdings as of,"Mar 31, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RY","ROYAL BANK OF CANADA","Financials","Equity","1,786,179,562.56","6.69","1,786,179,562.56","7,942,812.00","224.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TD","TORONTO DOMINION","Financials","Equity","1,239,139,413.12","4.64","1,239,139,413.12","9,537,711.00","129.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","1,150,018,906.68","4.31","1,150,018,906.68","6,967,278.00","165.06","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ENB","ENBRIDGE INC","Energy","Equity","934,983,026.01","3.50","934,983,026.01","12,398,661.00","75.41","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","803,962,169.78","3.01","803,962,169.78","2,847,194.00","282.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","802,763,238.42","3.01","802,763,238.42","11,829,697.00","67.86","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BMO","BANK OF MONTREAL","Financials","Equity","756,194,653.32","2.83","756,194,653.32","4,013,346.00","188.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","706,041,127.14","2.65","706,041,127.14","12,525,122.00","56.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","695,845,323.52","2.61","695,845,323.52","5,277,953.00","131.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","675,835,248.44","2.53","675,835,248.44","7,005,652.00","96.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SU","SUNCOR ENERGY INC","Energy","Equity","622,183,765.32","2.33","622,183,765.32","6,762,132.00","92.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","558,486,602.04","2.09","558,486,602.04","5,101,732.00","109.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ABX","BARRICK MINING CORP","Materials","Equity","541,250,089.50","2.03","541,250,089.50","9,520,670.00","56.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRP","TC ENERGY CORP","Energy","Equity","515,119,671.29","1.93","515,119,671.29","5,913,439.00","87.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","471,135,207.40","1.77","471,135,207.40","2,580,149.00","182.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","456,606,822.16","1.71","456,606,822.16","9,528,523.00","47.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","443,988,150.62","1.66","443,988,150.62","3,100,909.00","143.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","397,253,988.44","1.49","397,253,988.44","2,206,844.00","180.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FNV","FRANCO NEVADA CORP","Materials","Equity","377,384,931.20","1.41","377,384,931.20","1,095,616.00","344.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCO","CAMECO CORP","Energy","Equity","374,421,025.60","1.40","374,421,025.60","2,475,020.00","151.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATD","ALIMENTATION COUCHE TARD INC","Consumer Staples","Equity","333,976,902.30","1.25","333,976,902.30","4,235,598.00","78.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WCN","WASTE CONNECTIONS INC","Industrials","Equity","328,386,266.16","1.23","328,386,266.16","1,452,908.00","226.02","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"K","KINROSS GOLD CORP","Materials","Equity","289,988,763.56","1.09","289,988,763.56","6,818,452.00","42.53","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NTR","NUTRIEN LTD","Materials","Equity","287,297,174.03","1.08","287,297,174.03","2,735,903.00","105.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CVE","CENOVUS ENERGY","Energy","Equity","284,006,878.48","1.06","284,006,878.48","7,692,494.00","36.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Equity","277,197,072.40","1.04","277,197,072.40","116,945.00","2,370.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","276,350,240.34","1.04","276,350,240.34","113,166.00","2,441.99","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","274,308,372.45","1.03","274,308,372.45","3,147,543.00","87.15","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","264,795,400.80","0.99","264,795,400.80","1,550,960.00","170.73","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CLS","CELESTICA INC","Information Technology","Equity","256,243,981.28","0.96","256,243,981.28","652,984.00","392.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","254,357,038.64","0.95","254,357,038.64","1,009,033.00","252.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FTS","FORTIS INC","Utilities","Equity","223,753,122.45","0.84","223,753,122.45","2,883,045.00","77.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PPL","PEMBINA PIPELINE CORP","Energy","Equity","205,626,312.71","0.77","205,626,312.71","3,302,173.00","62.27","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","203,070,720.08","0.76","203,070,720.08","3,032,264.00","66.97","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"L","LOBLAW COMPANIES LTD","Consumer Staples","Equity","202,728,054.90","0.76","202,728,054.90","3,196,595.00","63.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","202,589,419.96","0.76","202,589,419.96","1,968,034.00","102.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BCE","BCE INC","Communication","Equity","186,007,009.50","0.70","186,007,009.50","5,299,345.00","35.10","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","183,430,907.80","0.69","183,430,907.80","2,544,118.00","72.10","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PAAS","PAN AMERICAN SILVER CORP","Materials","Equity","182,444,346.90","0.68","182,444,346.90","2,397,429.00","76.10","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WSP","WSP GLOBAL INC","Industrials","Equity","165,860,217.00","0.62","165,860,217.00","766,098.00","216.50","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"T","TELUS","Communication","Equity","157,355,908.08","0.59","157,355,908.08","8,800,666.00","17.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMO","IMPERIAL OIL LTD","Energy","Equity","155,224,881.21","0.58","155,224,881.21","851,901.00","182.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AGI","ALAMOS GOLD INC CLASS A","Materials","Equity","147,671,706.15","0.55","147,671,706.15","2,386,035.00","61.89","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RBA","RB GLOBAL INC","Industrials","Equity","140,777,033.61","0.53","140,777,033.61","1,055,221.00","133.41","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TOU","TOURMALINE OIL CORP","Energy","Equity","139,151,001.56","0.52","139,151,001.56","2,089,982.00","66.58","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUN","LUNDIN MINING CORP","Materials","Equity","133,055,021.36","0.50","133,055,021.36","3,835,544.00","34.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BAM","BROOKFIELD ASSET MANAGEMENT VOTING","Financials","Equity","132,413,984.65","0.50","132,413,984.65","2,140,889.00","61.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIP.UN","BROOKFIELD INFRASTRUCTURE PARTNERS","Utilities","Equity","131,315,138.76","0.49","131,315,138.76","2,616,882.00","50.18","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","127,713,843.38","0.48","127,713,843.38","3,839,863.00","33.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMA","EMERA INC","Utilities","Equity","123,654,083.78","0.46","123,654,083.78","1,714,798.00","72.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
